Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	br_lengths[44]	br_lengths[45]	br_lengths[46]	br_lengths[47]	br_lengths[48]	br_lengths[49]	br_lengths[50]	br_lengths[51]	muNeo	rate01	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	rel_br_lengths[36]	rel_br_lengths[37]	rel_br_lengths[38]	rel_br_lengths[39]	rel_br_lengths[40]	rel_br_lengths[41]	rel_br_lengths[42]	rel_br_lengths[43]	rel_br_lengths[44]	rel_br_lengths[45]	rel_br_lengths[46]	rel_br_lengths[47]	rel_br_lengths[48]	rel_br_lengths[49]	rel_br_lengths[50]	rel_br_lengths[51]	scale	stationaryDist[1]	stationaryDist[2]	tree_length
0	-2372.884	-2441.591	68.70662	0.151594	0.0993124	0.0297147	0.0733283	0.112212	0.199694	0.0557725	0.0243729	0.0804793	0.0642668	0.0562306	0.210905	0.0144683	0.0321978	0.00981371	0.0486377	0.0070471	0.0582871	0.072807	0.0449266	0.0492717	0.0151095	0.0138447	0.0696973	0.0353574	0.0122257	0.00769119	0.0252555	0.0240913	0.00755206	0.0130067	0.058199	0.0104151	0.04387	0.0480338	0.0103729	0.113263	0.0381453	0.0509191	0.0682137	0.0323931	0.0417223	0.404338	0.423911	0.0269299	0.0335182	0.131002	0.0165022	0.0258065	0.0504203	0.00193824	0.7361125	0.5824193	0.141402	0.38519	0.742571	1.34667	2.59612	7.07204	1.41443	0.0452643	0.0296536	0.00887249	0.021895	0.0335054	0.0596264	0.016653	0.00727748	0.0240302	0.0191894	0.0167898	0.062974	0.00432007	0.0096139	0.00293027	0.0145227	0.00210419	0.0174039	0.0217394	0.0134146	0.014712	0.00451152	0.00413389	0.0208108	0.0105573	0.00365047	0.00229651	0.00754102	0.00719341	0.00225496	0.00388366	0.0173776	0.00310984	0.0130991	0.0143424	0.00309724	0.0338191	0.0113898	0.0152039	0.0203679	0.00967223	0.0124578	0.120731	0.126575	0.00804098	0.0100082	0.0391158	0.00492737	0.00770553	0.015055	0.000578737	1.107692	0.631944	0.368056	3.349085
36	-2382.993	-2453.661	70.66819	0.123554	0.0966222	0.0400127	0.0302586	0.0639604	0.0833862	0.119519	0.00640551	0.0270108	0.035293	0.0682912	0.0839395	0.0252527	0.0238468	0.02431	0.0331589	0.0229101	0.0823673	0.0274541	0.0248375	0.0139188	0.016665	0.00886484	0.0116759	0.0190012	0.0175033	0.00463885	0.00264804	0.0100808	0.0215028	0.028608	0.00528021	0.0228153	0.0328264	0.173809	0.0164561	0.0664969	0.0505463	0.0303058	0.0126526	0.0461135	0.00129733	0.00442939	0.00976519	0.000504694	0.0445029	0.00115821	0.014771	0.02529	0.08508	0.165285	0.6693798	0.5030585	0.089003	0.307342	0.692066	1.44495	3.2537	11.2356	1.749165	0.061565	0.0481454	0.0199377	0.0150774	0.0318705	0.0415501	0.0595543	0.00319177	0.0134591	0.017586	0.0340285	0.0418258	0.012583	0.0118825	0.0121133	0.0165226	0.0114157	0.0410424	0.01368	0.0123762	0.00693553	0.00830393	0.00441722	0.00581795	0.00946802	0.00872162	0.00231147	0.00131948	0.00502311	0.0107145	0.014255	0.00263105	0.0113685	0.0163569	0.0866065	0.00819984	0.0331344	0.0251865	0.0151009	0.00630461	0.0229777	0.000646439	0.0022071	0.00486585	0.000251481	0.0221751	0.00057712	0.00736016	0.0126016	0.0423941	0.0823592	1.138702	0.66531	0.33469	2.006884
72	-2367.533	-2438.026	70.49298	0.130368	0.14252	0.0188661	0.0167056	0.0685424	0.0913571	0.0717371	0.0238269	0.0651594	0.0218395	0.0499793	0.113075	0.0224439	0.0145182	0.00918888	0.0238888	0.0217504	0.0817832	0.0545894	0.0347873	0.0293444	0.0270744	0.0110258	0.0326212	0.0189413	0.00345766	0.00329122	0.00113196	0.0099246	0.0169008	0.00994256	0.0270983	0.0836711	0.0214959	0.139759	0.0255677	0.0902871	0.0202047	0.0299945	0.0132786	0.0805504	0.00430644	0.00950558	0.00696549	0.00352604	0.0278478	0.000554325	0.0271234	0.00365497	0.0490888	0.124046	0.8335215	0.7145622	0.11171	0.343362	0.716413	1.39584	2.91238	8.95173	1.584856	0.0642488	0.0702375	0.00929772	0.00823298	0.0337796	0.0450233	0.035354	0.0117426	0.0321124	0.0107631	0.0246312	0.0557264	0.011061	0.00715495	0.00452853	0.0117731	0.0107192	0.040305	0.0269031	0.0171441	0.0144617	0.013343	0.00543382	0.0160766	0.00933479	0.00170403	0.001622	0.000557863	0.00489111	0.00832917	0.00489997	0.0133548	0.0412354	0.0105938	0.0688771	0.0126005	0.044496	0.00995741	0.0147821	0.00654405	0.0396975	0.00212233	0.00468461	0.00343278	0.00173773	0.0137242	0.000273186	0.0133672	0.00180127	0.0241923	0.0611333	1.065342	0.583239	0.416761	2.029108
108	-2368.73	-2438.927	70.19725	0.0897763	0.0960666	0.0491139	0.0344091	0.113417	0.157682	0.06088	0.010082	0.0732071	0.0280275	0.029121	0.153971	0.0298476	0.0322056	0.00273129	0.031404	0.0278319	0.0804306	0.0264334	0.0601971	0.0488175	0.0261295	0.0165696	0.0344049	0.00718179	0.00441229	0.00552291	0.0151704	0.0158273	0.0064741	0.0112771	0.00904154	0.188561	0.0374522	0.000170899	0.0444461	0.0196962	0.0346845	0.059087	0.00828804	0.0380791	0.0123632	0.0011753	0.0332493	0.00707644	0.0719994	0.00749164	0.0258759	0.0069079	0.00645873	0.268203	0.7571104	0.6091534	0.099129	0.323925	0.703506	1.42145	3.08713	10.0879	1.671253	0.0397429	0.0425275	0.0217421	0.0152325	0.0502081	0.0698038	0.0269508	0.00446318	0.0324079	0.0124074	0.0128915	0.0681609	0.0132132	0.014257	0.00120911	0.0139022	0.0123208	0.0356056	0.0117017	0.0266485	0.0216109	0.0115672	0.00733518	0.0152306	0.00317929	0.00195327	0.00244492	0.00671576	0.00700657	0.002866	0.00499223	0.00400258	0.0834736	0.0165796	7.56551e-05	0.0196757	0.00871926	0.0153544	0.0261571	0.00366901	0.0168572	0.00547306	0.000520292	0.014719	0.00313265	0.0318733	0.00331646	0.0114549	0.00305804	0.0028592	0.11873	1.09828	0.621445	0.378555	2.258928
144	-2374.538	-2444.446	69.90846	0.112622	0.0800398	0.0304175	0.0929159	0.0817141	0.0722402	0.0484055	0.0231135	0.0811956	0.0436002	0.0598635	0.286525	0.0333536	0.0208977	0.00314464	0.0174457	0.0208387	0.116882	0.0533248	0.0606262	0.0337499	0.0381389	0.00811232	0.00275178	0.0217131	0.0200935	0.00793323	0.0274345	0.005427	0.110916	0.0177284	0.00485901	0.0109206	0.0189896	0.00997134	0.0794359	0.0391718	0.00743491	0.0491414	0.0327761	0.0403187	0.0506554	0.00309593	0.225617	0.0208668	0.00107492	0.0249924	0.0671586	0.0394286	0.197298	0.0154062	0.8024435	0.6700673	0.148418	0.394396	0.748063	1.33679	2.53552	6.73772	1.379414	0.0437914	0.0311224	0.0118274	0.0361291	0.0317734	0.0280896	0.0188218	0.00898737	0.0315718	0.0169533	0.0232771	0.111411	0.0129691	0.0081258	0.00122275	0.00678351	0.00810283	0.0454479	0.0207346	0.0235736	0.0131232	0.0148298	0.00315436	0.00106999	0.00844285	0.00781309	0.00308473	0.0106675	0.00211021	0.0431282	0.00689343	0.00188936	0.00424632	0.00738384	0.00387722	0.0308876	0.0152314	0.00289096	0.0191079	0.0127445	0.0156774	0.0196967	0.00120381	0.0877281	0.00811375	0.000417966	0.00971793	0.0261137	0.0153312	0.0767166	0.00599049	1.078497	0.598778	0.401222	2.571778
180	-2366.698	-2437.121	70.42279	0.0684458	0.0659727	0.0370406	0.0611692	0.0865642	0.0613047	0.0419717	0.00817815	0.0610618	0.0161912	0.0934798	0.0927349	0.0120858	0.0200523	0.00350922	0.0320645	0.0192601	0.0729081	0.0226417	0.0245507	0.0127187	0.00846042	0.0150671	0.0133223	0.0187199	0.00703535	0.00189729	0.0123559	0.00867629	0.0724438	0.0114237	0.035185	0.0181291	0.01018	0.00107823	0.0418013	0.0114887	0.00711159	0.0295319	0.0165988	0.0132518	0.0211479	0.000417433	0.187206	0.0166641	0.00354105	0.0134818	0.0384959	0.0210039	0.228229	0.0045498	0.9244717	0.8595512	0.0810883	0.293695	0.682328	1.46557	3.4049	12.3322	1.816506	0.0379748	0.0366027	0.0205507	0.0339376	0.0480271	0.0340128	0.0232866	0.00453736	0.033878	0.00898314	0.051864	0.0514507	0.00670536	0.0111253	0.00194697	0.0177899	0.0106858	0.0404505	0.0125619	0.0136211	0.00705654	0.00469397	0.00835947	0.00739141	0.0103861	0.00390332	0.00105265	0.00685522	0.00481374	0.0401929	0.00633805	0.0195212	0.0100583	0.00564799	0.00059822	0.023192	0.00637411	0.00394562	0.0163848	0.00920925	0.00735232	0.0117332	0.000231598	0.103865	0.00924551	0.00196463	0.00747989	0.0213581	0.0116533	0.126625	0.0025243	1.028623	0.537764	0.462236	1.802402
216	-2373.32	-2442.854	69.53421	0.177587	0.0877927	0.0438283	0.0267522	0.12743	0.156442	0.0467039	0.000374941	0.0632867	0.0456188	0.0798672	0.140959	0.0190347	0.0217606	0.0116478	0.0356112	0.0326225	0.153545	0.0475102	0.044163	0.038922	0.0337954	0.024705	0.0248767	0.0209334	0.00859811	0.00366213	0.0134682	0.0415122	0.00238254	0.0100185	0.0143561	0.339687	0.0353933	0.00384684	0.0596114	0.0134491	0.0144208	0.0279639	0.00270396	0.0465633	0.0399185	0.0026348	0.0954672	0.0488742	0.0972649	0.0568872	0.060997	0.00867542	0.00510273	0.180722	0.8567061	0.7493315	0.148609	0.394642	0.748209	1.33652	2.53394	6.72908	1.378487	0.0648139	0.0320417	0.015996	0.00976373	0.046508	0.0570967	0.0170455	0.000136842	0.0230978	0.0166495	0.0291491	0.0514457	0.00694708	0.00794197	0.00425109	0.012997	0.0119062	0.0560394	0.0173398	0.0161182	0.0142054	0.0123343	0.00901657	0.00907925	0.00764005	0.00313805	0.00133657	0.00491549	0.0151507	0.000869557	0.00365646	0.00523953	0.123975	0.0129175	0.00140398	0.0217564	0.00490853	0.00526317	0.010206	0.000986863	0.0169942	0.014569	0.000961624	0.0348427	0.0178376	0.0354988	0.0207621	0.0222621	0.00316627	0.00186234	0.0659582	1.055735	0.571647	0.428353	2.739952
252	-2374.187	-2444.43	70.24304	0.159708	0.0804224	0.0381179	0.0714088	0.110064	0.167076	0.0160101	0.0044591	0.0653253	0.024835	0.0930786	0.0680775	0.0356562	0.0459389	0.0116861	0.0203472	0.0188515	0.0937645	0.0517161	0.0309894	0.030938	0.0294558	0.00672328	0.0340394	0.0244928	0.010141	0.00579835	0.0149694	0.0374341	0.0034312	0.0210583	0.0153966	0.172527	0.0305389	0.00246382	0.0297781	0.0165968	0.020976	0.0229583	0.00970409	0.0555669	0.0313241	0.0062768	0.0716257	0.0634288	0.0681112	0.0126146	0.0296411	0.0303402	0.00963932	0.15286	0.882229	0.7892753	0.1525	0.399649	0.751158	1.33128	2.5022	6.55738	1.359797	0.0700971	0.035298	0.0167302	0.0313419	0.0483081	0.073331	0.00702698	0.00195713	0.0286718	0.0109003	0.0408529	0.0298798	0.0156498	0.0201629	0.00512911	0.00893056	0.00827407	0.041154	0.0226986	0.0136015	0.0135789	0.0129284	0.0029509	0.0149402	0.0107501	0.00445097	0.00254494	0.0065702	0.0164301	0.00150598	0.00924267	0.0067577	0.0757235	0.0134038	0.00108139	0.0130698	0.00728447	0.00920652	0.0100766	0.0042592	0.0243888	0.0137484	0.00275494	0.0314371	0.0278394	0.0298945	0.00553663	0.0130097	0.0133166	0.00423077	0.0670914	1.045357	0.558885	0.441115	2.278383
288	-2363.263	-2432.637	69.37317	0.103476	0.071558	0.0402675	0.0949695	0.133907	0.1816	0.0505285	0.00795948	0.0720788	0.0249312	0.0986956	0.11796	0.020115	0.051025	0.0184973	0.023313	0.0159316	0.140634	0.0457234	0.0308893	0.0354768	0.0514289	0.0277646	0.0423906	0.0313999	0.0126984	0.00589392	0.00912138	0.010448	0.00184664	0.0191163	0.0566295	0.0887981	0.0140891	0.393155	0.0517861	0.0123628	0.0932431	0.0410867	0.00664481	0.0408304	0.0156896	0.00352879	0.00172994	0.00640266	0.0213211	0.0357594	0.0216766	0.00892867	0.0995691	0.257829	0.7388747	0.5858853	0.115845	0.349503	0.720386	1.38815	2.86121	8.63221	1.558576	0.0361463	0.0249966	0.0140662	0.0331747	0.0467765	0.0634366	0.0176506	0.00278041	0.0251785	0.00870895	0.0344763	0.0412056	0.00702658	0.017824	0.00646149	0.00814369	0.00556521	0.0491262	0.0159721	0.0107902	0.0123927	0.0179651	0.00969872	0.0148079	0.0109686	0.00443581	0.00205886	0.00318628	0.0036497	0.000645069	0.00667769	0.0197818	0.0310189	0.00492161	0.137337	0.0180899	0.00431858	0.0325717	0.0143524	0.00232117	0.0142629	0.0054807	0.00123268	0.000604302	0.00223658	0.00744789	0.0124915	0.00757207	0.00311896	0.0347814	0.0900647	1.106444	0.630563	0.369437	2.862706
324	-2368.274	-2438.189	69.91477	0.15869	0.100175	0.0151683	0.0413327	0.129957	0.180095	0.0272822	0.0260543	0.0766639	0.02927	0.0852291	0.117494	0.0196962	0.0161944	0.0138731	0.0732217	0.0153207	0.132481	0.0317066	0.0204016	0.0460058	0.00804303	0.0140553	0.0367704	0.0270384	0.00661663	0.00596144	0.00878181	0.00999086	0.000464392	0.0126955	0.0729018	0.0250163	0.0190432	0.288888	0.0316636	0.0344973	0.0901524	0.00456817	0.0191738	0.0384915	0.00373747	0.00615303	0.0013795	0.0165685	0.015379	0.0193211	0.0255257	0.00940999	0.0856677	0.213051	0.7649798	0.6194067	0.117777	0.352333	0.722201	1.38466	2.83822	8.49063	1.546617	0.0632908	0.0399532	0.00604959	0.0164848	0.0518309	0.0718275	0.010881	0.0103913	0.030576	0.0116738	0.0339921	0.0468603	0.00785548	0.00645884	0.00553303	0.0292032	0.00611039	0.0528378	0.0126456	0.00813682	0.0183486	0.00320782	0.00560571	0.0146652	0.0107838	0.00263893	0.00237762	0.00350247	0.00398468	0.000185215	0.00506338	0.0290756	0.00997732	0.00759505	0.115218	0.0126285	0.0137587	0.0359557	0.00182193	0.00764714	0.0153517	0.00149063	0.00245403	0.00055019	0.00660804	0.00613365	0.00770588	0.0101805	0.00375301	0.0341671	0.0849717	1.094794	0.61751	0.38249	2.507319
